Actual_X,Actual_Y,Predicted_Y
"['o', 'd', 'i', 't', 'a', 'r']","['ऑ', 'ड', 'ि', 'ट', 'र']","['ओ', 'ड', 'ि', 'ट', 'र']"
"['a', 'm', 'a', 'n', 'w', 'a', 'y', 'a', 'k', 'a']","['स', 'म', 'न', '्', 'व', 'य', 'क']","['स', 'म', 'न', 'न', 'व', 'ा', 'क', 'ा']"
"['c', 'h', 'a', 'h', 'u', 'n', 'm', 'u', 'k', 'h', 'i']","['च', 'ह', 'ु', 'ं', 'म', 'ु', 'ख', 'ी']","['च', 'ह', 'ु', 'ं', 'म', 'ु', 'ख', 'ी']"
"['d', 'e', 'h', 'k', 'a', 'l']","['द', 'े', 'क', 'ा', 'ल']","['द', 'े', 'क', 'ा', 'ल']"
"['t', 'h', 'e', 'a', 't', 'e', 'r', 'o', 'n']","['थ', 'ि', 'य', 'े', 'ट', 'र', 'ो', 'ं']","['थ', 'े', 'ए', 'े', 'े', 'र', 'ो', 'न']"
"['k', 'h', 'u', 'r', 'p', 'a', 'k', 'a']","['ख', 'ु', 'र', 'प', 'क', 'ा']","['ख', 'ु', 'र', 'प', 'क', 'ा']"
"['a', 'v', 'i']","['अ', 'व', 'ि']","['ए', 'व', 'ी']"
"['t', 'o', 'n', 'c', 'i', 'l']","['ट', 'ो', 'ं', 'स', 'ि', 'ल']","['ट', 'ॉ', 'न', '्', 'ि', 'ल']"
"['r', 'a', 'i', 'c', 'h', 'u', 'r']","['र', 'ा', 'य', 'च', 'ू', 'र']","['र', 'ा', 'य', 'च', 'ु', 'र']"
"['b', 'e', 'w', 'a', 'k', 'o', 'o', 'f', 'a', 'a', 'n', 'a', 'a']","['ब', 'े', 'व', 'क', 'ू', 'फ', 'ा', 'न', 'ा']","['ब', 'े', 'व', 'क', 'ू', 'फ', '़', 'ा', 'न']"
"['m', 'a', 'a', 'o', 'o', 'n', 't']","['म', 'ा', 'ऊ', 'ं', 'ट']","['म', 'ा', 'ओ', 'ं', 'ट']"
"['j', 'w', 'a', 'r']","['ज', '्', 'व', 'ा', 'र']","['ज', '्', 'व', 'ा', 'र']"
"['a', 'n', 'k', 'e', 'n', 'y']","['ए', 'ं', 'क', 'े', 'न', 'ी']","['ए', 'ं', 'क', 'े', 'न', 'ी']"
"['n', 'a', 'k', 'a', 'l', 'a', 'v', 'a', 'a', 'd']","['न', 'क', '्', 'स', 'ल', 'व', 'ा', 'द']","['न', 'क', '्', 'स', 'ल', 'व', 'ा', 'द']"
"['c', 'l', 'a', 'r', 'i', 'a', 'n', 't']","['क', '्', 'ल', 'ै', 'र', 'ि', 'ए', 'ं', 'ट']","['क', '्', 'ल', 'ै', 'र', 'ि', 'ए', 'ं', 'ट']"
"['a', 'g', 'r', 'a', 'h', 'a', 'r', 'i']","['अ', 'ग', '्', 'र', 'ह', 'र', 'ि']","['अ', 'ग', '्', 'र', 'ह', 'र', 'ी']"
"['l', 'i', 'd', 'o', 'n']","['स', '्', 'ल', 'ा', 'इ', 'ड', 'ो', 'ं']","['स', '्', 'ल', 'ि', 'ड', 'ो', 'न']"
"['m', 'i', 't', 'r', 'i', 'y', 'a', 'n']","['म', 'ि', 'स', '्', 'त', '्', 'र', 'ि', 'य', 'ा', 'ं']","['म', 'ि', 'स', '्', 'त', '्', 'र', 'ि', 'य', 'ा', 'ं']"
"['r', 'a', 'i', 'd', 'c', 'r', 'a']","['र', 'ै', 'ड', 'क', '्', 'र', 'ा', 'स']","['र', 'े', 'ड', 'क', '्', 'र', 'ा', 'स']"
"['g', 'o', 'n', 'p', 'o']","['ग', 'ो', 'ं', 'प', 'ो']","['ग', 'ो', 'ं', 'प', 'ो']"
"['p', 'o', 'o', 'r', 'v', 'a', 'p', 'e', 'k', 'h', 'a', 'o', 'n']","['प', 'ू', 'र', '्', 'व', 'ा', 'प', 'े', 'क', '्', 'ष', 'ा', 'ओ', 'ं']","['प', 'ू', 'र', '्', 'व', 'ा', 'े', 'क', '्', 'ष', 'ा', 'ओ', 'ं']"
"['m', 'a', 'j', 'e', 'c', 'o']","['म', 'े', 'ज', 'े', 'स', '्', 'क', 'ो']","['म', 'ज', 'े', 'स', '्', 'क', 'ो']"
"['b', 'h', 'r', 'a', 'h', 't', 'a', 'c', 'h', 'a', 'r', 'i', 'y', 'o', 'n']","['भ', '्', 'र', 'ष', '्', 'ट', 'ा', 'च', 'ा', 'र', 'ी', 'य', 'ो', 'ं']","['भ', '्', 'र', 'ष', '्', 'ट', 'ा', 'च', 'ा', 'र', 'ि', 'य', 'ो', 'ं']"
"['a', 'r', 'a', 'h', 'a']","['स', 'र', 'ा', 'ह', 'ा']","['स', 'र', 'ा', 'ह', 'ा']"
"['c', 'h', 'a', 'u', 'k', 'h', 'a', 't', 'e']","['च', 'ौ', 'ख', 'ट', 'े']","['च', 'ौ', 'ख', 'त', 'े']"
"['p', 'e', 'c', 'k']","['प', 'े', 'क']","['प', 'ै', 'क']"
